"State","County","Worst.Crime.Display","Crime.Category","Year.of.Crime","Year.of.1st.Conviction"
"California","Los Angeles","Manslaughter","Misconduct",1996,1996
"Texas","Montgomery","Drug Possession or Sale","Misdemeanor",2012,2012
"Virginia","Norfolk City","Sexual Assault","Misconduct",1980,1981
"Illinois","Cook","Murder","Misconduct",1995,1996
"Illinois","Champaign","Murder","Misconduct",1980,1981
"Iowa","Pottawattamie","Sexual Assault","Misconduct",1989,1990
"New York","Kings","Weapon Possession or Sale","Misdemeanor",1988,1991
"Florida","Palm Beach","Robbery","Misconduct",2006,2006
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2005,2005
"Fed-LA","(Western)","Drug Possession or Sale","Misdemeanor",2001,2006
"Texas","Travis","Murder","Misconduct",1985,2011
"West Virginia","Kanawha","Sexual Assault","Misconduct",1986,1987
"Michigan","Wayne","Sexual Assault","Misconduct",2006,2007
"Pennsylvania","Philadelphia","Murder","Misconduct",2011,2014
"West Virginia","Kanawha","Sexual Assault","Misconduct",1986,1986
"New York","Kings","Murder","Misconduct",2004,2006
"Minnesota","Hennepin","Attempted Murder","Misconduct",2014,2015
"Washington","Spokane","Murder","Misconduct",2007,2008
"Louisiana","Jefferson","Murder","Misconduct",1992,1993
"Maryland","Baltimore City","Murder","Misconduct",2015,2017
"Fed-LA","(Western)","Drug Possession or Sale","Misdemeanor",2001,2006
"Washington","Clark","Sexual Assault","Misconduct",1993,1993
"Illinois","Kane","Murder","Misconduct",1993,1997
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"California","El Dorado","Murder","Misconduct",1985,2005
"Virginia","Albemarle","Murder","Misconduct",2003,2004
"Texas","Jefferson","Conspiracy","Nonviolent felony",2016,2019
"Illinois","Cook","Murder","Misconduct",1991,1994
"Texas","Bexar","Sexual Assault","Misconduct",2010,2013
"Illinois","Cook","Murder","Misconduct",1990,1992
"Texas","Dallas","Sexual Assault","Misconduct",1989,1990
"Louisiana","Iberia","Drug Possession or Sale","Misdemeanor",2010,2012
"California","San Diego","Sexual Assault","Misconduct",1984,1984
"New York","Westchester","Murder","Misconduct",1996,2004
"New York","Kings","Murder","Misconduct",1989,1989
"Alabama","Mobile","Child Sex Abuse","Misconduct",2014,2015
"Nevada","Clark","Attempted Murder","Misconduct",2005,2006
"Nebraska","Gage","Accessory to Murder","Misconduct",1985,1989
"Fed-NY","(Eastern)","Murder","Misconduct",1999,2003
"Georgia","Muscogee","Murder","Misconduct",2008,2009
"Georgia","Muscogee","Murder","Misconduct",2008,2009
"New York","Kings","Robbery","Misconduct",1999,2000
"Fed-MN",NA,"Robbery","Misconduct",1993,1993
"Florida","Brevard","Sexual Assault","Misconduct",1981,1982
"Texas","McLennan","Murder","Misconduct",1982,1985
"Michigan","Oakland","Murder","Misconduct",2000,2006
"Florida","Palm Beach","Manslaughter","Misconduct",1988,1989
"New York","Erie","Murder","Misconduct",1993,1994
"Michigan","Oakland","Murder","Misconduct",1995,1997
"Michigan","Oakland","Murder","Misconduct",1995,1997
"Illinois","Will","Murder","Misconduct",2002,2005
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2008
"Illinois","Cook","Murder","Misconduct",1998,2000
"Louisiana","Jefferson","Murder","Misconduct",1992,1993
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2008,2008
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2008,2008
"Indiana","Vermillion","Child Sex Abuse","Misconduct",1988,1989
"Ohio","Cuyahoga","Arson","Misconduct",1995,1996
"Michigan","Jackson","Murder","Misconduct",2002,2003
"New York","Kings","Sexual Assault","Misconduct",1987,1989
"Louisiana","Orleans","Murder","Misconduct",1997,1999
"Iowa","Clinton","Sexual Assault","Misconduct",2004,2005
"New York","Westchester","Murder","Misconduct",1989,1990
"Florida","Miami-Dade","Burglary/Unlawful Entry","Misdemeanor",2013,2013
"Florida","Volusia","Child Sex Abuse","Misconduct",1991,1995
"Colorado","Mesa","Murder","Misconduct",1994,1996
"District of Columbia",NA,"Murder","Misconduct",1991,1992
"Missouri","Clay","Murder","Misconduct",1990,1991
"Virginia","Prince William","Sexual Assault","Misconduct",1976,1977
"Puerto Rico","Humacao","Murder","Misconduct",2001,2004
"Florida","Miami-Dade","Sexual Assault","Misconduct",1979,1980
"California","Santa Clara","Sexual Assault","Misconduct",1984,1984
"California","San Diego","Other Nonviolent Misdemeanor","Misdemeanor",2015,2016
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2011,2011
"Virginia","Norfolk City","Murder","Misconduct",1997,1999
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",1983,1983
"Michigan","Wayne","Sexual Assault","Misconduct",1992,1992
"California","Contra Costa","Child Sex Abuse","Misconduct",1998,1998
"California","Kern","Child Sex Abuse","Misconduct",1984,1985
"California","Kern","Child Sex Abuse","Misconduct",1984,1985
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2011,2011
"Florida","Brevard","Murder","Misconduct",1981,1981
"Louisiana","Jefferson","Murder","Misconduct",1986,1987
"Pennsylvania","Erie","Murder","Misconduct",1979,1980
"Georgia","Rabun","Murder","Misconduct",1989,1993
"New York","Putnam","Murder","Misconduct",1994,1997
"Mississippi","Forrest","Murder","Misconduct",1979,1980
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2005,2005
"Missouri","Jackson","Murder","Misconduct",1983,1985
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"New Jersey","Essex","Sexual Assault","Misconduct",1990,1991
"Virginia","Martinsville City","Accessory to Murder","Misconduct",2000,2005
"Ohio","Franklin","Murder","Misconduct",1995,1998
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2017,2017
"Pennsylvania","Philadelphia","Murder","Misconduct",2011,2012
"New York","Erie","Murder","Misconduct",1991,1992
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2009
"Washington","Chelan","Child Sex Abuse","Misconduct",1994,1995
"Washington","Chelan","Child Sex Abuse","Misconduct",1994,1995
"Delaware","Kent","Drug Possession or Sale","Misdemeanor",2012,2013
"New York","Erie","Robbery","Misconduct",1984,1985
"Pennsylvania","Philadelphia","Murder","Misconduct",1987,1988
"Illinois","Lake","Sexual Assault","Misconduct",1989,1990
"California","Los Angeles","Assault","Misconduct",2006,2006
"New York","Kings","Murder","Misconduct",1987,1989
"Indiana","Lake","Murder","Misconduct",1992,1992
"Oklahoma","Sequoyah","Murder","Misconduct",1997,2015
"California","San Diego","Murder","Misconduct",2000,2001
"New Jersey","Union","Murder","Misconduct",1994,1996
"Ohio","Cuyahoga","Other Nonviolent Felony","Nonviolent felony",1993,1995
"Pennsylvania","Allegheny","Sexual Assault","Misconduct",1986,1986
"Illinois","Cook","Sexual Assault","Misconduct",1977,1979
"California","Alameda","Murder","Misconduct",2011,2016
"New York","Westchester","Assault","Misconduct",2006,2007
"Oklahoma","Cleveland","Murder","Misconduct",1993,1995
"Texas","El Paso","Child Sex Abuse","Misconduct",1985,1986
"Illinois","Cook","Murder","Misconduct",1988,1990
"Alabama","Montgomery","Child Sex Abuse","Misconduct",1991,1992
"Utah","Salt Lake","Theft","Misdemeanor",2014,2014
"Wyoming","Fremont","Murder","Misconduct",2010,2011
"Alabama","Morgan","Murder","Misconduct",1993,1995
"Massachusetts","Suffolk","Murder","Misconduct",1988,1989
"Pennsylvania","Lancaster","Sexual Assault","Misconduct",2001,2002
"Florida","Hillsborough","Murder","Misconduct",1983,1985
"North Carolina","Lenoir","Child Sex Abuse","Misconduct",1991,1992
"New York","Queens","Assault","Misconduct",1998,2000
"Texas","Dallas","Child Sex Abuse","Misconduct",1992,1992
"Texas","Dallas","Burglary/Unlawful Entry","Misdemeanor",1991,1992
"New York","Albany","Murder","Misconduct",1997,1998
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2007,2007
"California","Los Angeles","Murder","Misconduct",1997,1998
"Louisiana","Orleans","Murder","Misconduct",1981,1985
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2013,2013
"Tennessee","Davidson","Murder","Misconduct",1987,1988
"Indiana","Elkhart","Murder","Misconduct",2008,2011
"Fed-NY","(Northern)","Fraud","Nonviolent felony",2007,2010
"Wisconsin","Racine","Murder","Misconduct",2011,2012
"Kansas","Thomas","Murder","Misconduct",1985,1985
"Texas","Dallas","Robbery","Misconduct",1979,1980
"Hawaii","Honolulu","Child Sex Abuse","Misconduct",2000,2003
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2015,2015
"Oklahoma","Tulsa","Child Sex Abuse","Misconduct",1991,1993
"Florida","Duval","Robbery","Misconduct",2013,2013
"New York","Monroe","Murder","Misconduct",1973,1973
"Georgia","Rockdale","Robbery","Misconduct",2009,2010
"Michigan","Wayne","Sexual Assault","Misconduct",1991,1991
"Minnesota","Ramsey","Manslaughter","Misconduct",1987,1987
"Michigan","Wayne","Robbery","Misconduct",2018,2018
"Illinois","McLean","Destruction of Property","Misdemeanor",1989,1990
"Massachusetts","Plymouth","Murder","Misconduct",1985,2005
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"New Mexico","Eddy","Murder","Misconduct",1982,1983
"California","Shasta","Child Sex Abuse","Misconduct",1990,1993
"Illinois","McLean","Sex Offender Registration","Nonviolent felony",2005,2005
"District of Columbia",NA,"Murder","Misconduct",1974,1975
"Massachusetts","Essex","Murder","Misconduct",1994,1996
"Georgia","Chatham","Sexual Assault","Misconduct",1986,1987
"Mississippi","Oktibbeha","Murder","Misconduct",2003,2004
"Wisconsin","Dane","Murder","Misconduct",1995,1996
"Michigan","Genesee","Murder","Misconduct",2007,2009
"Illinois","Lake","Murder","Misconduct",1994,1996
"Michigan","Genesee","Murder","Misconduct",2007,2009
"Montana","Yellowstone","Sexual Assault","Misconduct",2014,2015
"California","Contra Costa","Child Abuse","Misconduct",1991,1996
"Texas","Jefferson","Child Sex Abuse","Misconduct",1983,1984
"Texas","Jefferson","Child Sex Abuse","Misconduct",1983,1984
"Ohio","Summit","Murder","Misconduct",1998,1999
"New York","Kings","Murder","Misconduct",1995,1996
"Texas","Nueces","Murder","Misconduct",1982,1982
"Ohio","Mahoning","Child Sex Abuse","Misconduct",1988,1989
"Alabama","Pike","Sexual Assault","Misconduct",2012,2013
"Illinois","Cook","Murder","Misconduct",1991,1996
"Georgia","DeKalb","Perjury","Nonviolent felony",2012,2015
"Massachusetts","Suffolk","Murder","Misconduct",1993,1995
"Kansas","Douglas","Sexual Assault","Misconduct",2006,2006
"Fed-MI","(Eastern)","Supporting Terrorism","Misconduct",2001,2003
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2011,2012
"Alabama","Jefferson","Murder","Misconduct",1992,1993
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2009,2009
"Massachusetts","Suffolk","Assault","Misconduct",1970,1970
"Iowa","Pottawattamie","Manslaughter","Misconduct",1997,1997
"Missouri","Clay","Kidnapping","Misconduct",1984,1991
"South Dakota","Meade","Manslaughter","Misconduct",2000,2001
"Ohio","Franklin","Sexual Assault","Misconduct",1987,1990
"Illinois","DuPage","Drug Possession or Sale","Misdemeanor",2009,2011
"New York","Erie","Murder","Misconduct",1997,1998
"Massachusetts","Essex","Child Abuse","Misconduct",2004,2007
"North Carolina","New Hanover","Assault","Misconduct",1971,1972
"Missouri","St. Louis City","Child Sex Abuse","Misconduct",1985,1986
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"New York","Kings","Murder","Misconduct",1975,1976
"Illinois","Cook","Murder","Misconduct",1993,1994
"California","Los Angeles","Weapon Possession or Sale","Misdemeanor",1996,1997
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2015,2015
"Montana","Cascade","Child Abuse","Misconduct",2012,2014
"Iowa","Cerro Gordo","Murder","Misconduct",2002,2003
"Texas","Dallas","Sexual Assault","Misconduct",1992,1992
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Texas","Dallas","Sexual Assault","Misconduct",1986,1987
"Illinois","Cook","Murder","Misconduct",1976,1976
"North Carolina","Durham","Murder","Misconduct",1993,2009
"Washington","Chelan","Child Sex Abuse","Misconduct",1994,1994
"Washington","Chelan","Child Sex Abuse","Misconduct",1994,1994
"Indiana","Madison","Child Sex Abuse","Misconduct",2006,2008
"New York","Erie","Child Sex Abuse","Misconduct",1991,1993
"Illinois","Cook","Robbery","Misconduct",1995,1998
"Michigan","Genesee","Child Sex Abuse","Misconduct",1986,1988
"Fed-TN","(Middle)","Other Violent Felony","Misconduct",2009,2012
"Idaho","Canyon","Murder","Misconduct",1982,1983
"Texas","Travis","Assault","Misconduct",2011,2012
"New York","Kings","Murder","Misconduct",1987,1988
"New York","Kings","Sexual Assault","Misconduct",1983,1985
"Missouri","Lincoln","Murder","Misconduct",2011,2013
"Florida","Pasco","Sexual Assault","Misconduct",1996,1997
"Michigan","Jackson","Theft","Misdemeanor",1999,1999
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Maryland","Talbot","Murder","Misconduct",1987,2001
"California","Kern","Kidnapping","Misconduct",1999,2000
"Florida","St. Lucie","Arson","Misconduct",1995,1996
"Illinois","Cook","Murder","Misconduct",1983,1986
"Missouri","St. Charles","Sexual Assault","Misconduct",2015,2016
"Illinois","Cook","Assault","Misconduct",2008,2009
"Ohio","Franklin","Sexual Assault","Misconduct",1983,1984
"Pennsylvania","Philadelphia","Murder","Misconduct",1995,1998
"New York","Bronx","Attempted Murder","Misconduct",2003,2004
"California","Trinity","Murder","Misconduct",1991,1994
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2011
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2007
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2008,2008
"Missouri","Boone","Murder","Misconduct",2001,2005
"New York","New York","Murder","Misconduct",1993,1996
"Fed-MA",NA,"Murder","Misconduct",1985,1992
"Fed-NY","(Southern)","Tax Evasion/Fraud","Nonviolent felony",2004,2011
"Texas","Dallas","Child Sex Abuse","Misconduct",1997,1997
"Illinois","Cook","Murder","Misconduct",1984,1986
"New York","Queens","Filing a False Report","Violent felony",1997,1997
"Connecticut","New Haven","Sexual Assault","Misconduct",1995,1996
"Maine","Hancock","Sexual Assault","Misconduct",2007,2009
"Massachusetts","Hampden","Drug Possession or Sale","Misdemeanor",2006,2008
"North Carolina","Wilson","Murder","Misconduct",1976,1976
"Arizona","Coconino","Murder","Misconduct",2004,2006
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2003,2004
"Michigan","Wayne","Child Sex Abuse","Misconduct",2001,2002
"Fed-TX","(Northern)","Fraud","Nonviolent felony",1987,1995
"Colorado","La Plata","Sexual Assault","Misconduct",2017,2018
"Fed-CA","(Southern)","Tax Evasion/Fraud","Nonviolent felony",1999,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2002,2002
"Louisiana","Orleans","Murder","Misconduct",1983,1985
"New York","Kings","Murder","Misconduct",1989,1990
"Illinois","Cook","Murder","Misconduct",1990,2005
"Texas","Bexar","Assault","Misconduct",2009,2010
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Illinois","Cook","Murder","Misconduct",1989,1990
"Texas","Hidalgo","Burglary/Unlawful Entry","Misdemeanor",2004,2004
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2012,2013
"Arkansas","Columbia","Murder","Misconduct",2003,2004
"Mississippi","Montgomery","Murder","Misconduct",1996,1997
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2015,2015
"Louisiana","Orleans","Murder","Misconduct",1980,1982
"Pennsylvania","Indiana","Murder","Misconduct",1976,1982
"California","Santa Clara","Robbery","Misconduct",1995,1995
"Michigan","Branch","Murder","Misconduct",2009,2009
"Fed-Military",NA,"Sexual Assault","Misconduct",1997,1998
"Michigan","Jackson","Murder","Misconduct",1982,1983
"Louisiana","Caddo","Murder","Misconduct",1983,1984
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Texas","Bexar","Other Nonviolent Felony","Nonviolent felony",2011,2012
"California","Kern","Child Sex Abuse","Misconduct",1984,1985
"California","Kern","Child Sex Abuse","Misconduct",1984,1985
"Michigan","Wayne","Murder","Misconduct",1998,2000
"Ohio","Cuyahoga","Sexual Assault","Misconduct",2017,2019
"Illinois","Cook","Attempted Murder","Misconduct",2009,2013
"Texas","Dallas","Sexual Assault","Misconduct",1986,1986
"New York","Kings","Murder","Misconduct",2007,2009
"New York","Bronx","Murder","Misconduct",1996,1998
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1998,2000
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2008,2008
"Indiana","Scott","Murder","Misconduct",1986,1988
"Massachusetts","Suffolk","Murder","Misconduct",1991,1992
"Fed-OH","(Northern)","Drug Possession or Sale","Misdemeanor",2005,2006
"Texas","Tarrant","Child Sex Abuse","Misconduct",1994,1995
"California","San Mateo","Murder","Misconduct",1969,1990
"Massachusetts","Suffolk","Possession of Stolen Property","Misdemeanor",2003,2004
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2008,2008
"Pennsylvania","Philadelphia","Murder","Misconduct",2012,2013
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2010,2010
"Alaska","Fairbanks","Murder","Misconduct",1999,1999
"Wisconsin","Winnebago","Sexual Assault","Misconduct",1991,1994
"Oklahoma","Pontotoc","Murder","Misconduct",1982,1988
"Pennsylvania","Lehigh","Manslaughter","Misconduct",1994,1995
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"Illinois","Iroquois","Murder","Misconduct",1988,1989
"Texas","Montgomery","Drug Possession or Sale","Misdemeanor",2012,2013
"Texas","Dallas","Sexual Assault","Misconduct",1981,1981
"Pennsylvania","Philadelphia","Attempted Murder","Misconduct",2008,2013
"Illinois","Cook","Murder","Misconduct",1994,1997
"Illinois","Cook","Murder","Misconduct",2003,2006
"California","Los Angeles","Assault","Misconduct",2006,2006
"Michigan","Wayne","Murder","Misconduct",2009,2009
"Oregon","Marion","Murder","Misconduct",1989,1991
"Louisiana","Orleans","Murder","Misconduct",1994,1996
"Indiana","Tippecanoe","Child Sex Abuse","Misconduct",1996,2010
"South Carolina","Horry","Murder","Misconduct",2005,2008
"Pennsylvania","Allegheny","Arson","Misconduct",1984,1985
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2005
"Alabama","Jefferson","Murder","Misconduct",1972,1974
"Michigan","Wayne","Drug Possession or Sale","Misdemeanor",1990,1990
"New York","Cayuga","Weapon Possession or Sale","Misdemeanor",2015,2016
"Texas","Ellis","Drug Possession or Sale","Misdemeanor",2012,2012
"California","San Diego","Child Sex Abuse","Misconduct",2007,2008
"Utah","Salt Lake","Murder","Misconduct",1992,1993
"New York","Nassau","Attempted Murder","Misconduct",2008,2009
"Illinois","Cook","Murder","Misconduct",1986,1989
"Texas","Harris","Robbery","Misconduct",1989,1990
"California","Los Angeles","Murder","Misconduct",1992,1994
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2015,2015
"Pennsylvania","Philadelphia","Murder","Misconduct",2013,2015
"New York","Bronx","Murder","Misconduct",1991,1993
"Texas","Bexar","Drug Possession or Sale","Misdemeanor",2017,2018
"California","Santa Clara","Murder","Misconduct",1998,2000
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2011,2012
"California","Los Angeles","Drug Possession or Sale","Misdemeanor",1997,1997
"New York","New York","Murder","Misconduct",1994,1996
"Georgia","Chatham","Murder","Misconduct",1992,1992
"West Virginia","Kanawha","Sexual Assault","Misconduct",1987,1990
"Illinois","Cook","Murder","Misconduct",1992,1995
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2017,2017
"Texas","Hutchinson","Child Sex Abuse","Misconduct",1991,1992
"Fed-OH","(Southern)","Fraud","Nonviolent felony",1986,1991
"Fed-OH","(Northern)","Robbery","Misconduct",2005,2005
"North Carolina","Wayne","Attempted Murder","Misconduct",1997,1998
"Tennessee","Davidson","Murder","Misconduct",1992,1993
"Tennessee","Davidson","Manslaughter","Misconduct",2000,2003
"New York","Bronx","Murder","Misconduct",1995,1997
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2013,2013
"Kansas","Sedgwick","Child Sex Abuse","Misconduct",2007,2008
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2009,2009
"Washington","Spokane","Robbery","Misconduct",2008,2009
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2006,2006
"District of Columbia",NA,"Murder","Misconduct",1981,1982
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2015,2016
"District of Columbia",NA,"Murder","Misconduct",1993,1994
"New York","Kings","Manslaughter","Misconduct",1991,1998
"New York","Kings","Murder","Misconduct",1963,1964
"Illinois","McHenry","Murder","Misconduct",1993,1993
"Washington","Chelan","Child Sex Abuse","Misconduct",1994,1995
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2013,2013
"Wisconsin","Kenosha","Child Sex Abuse","Misconduct",1995,1997
"Michigan","Ionia","Murder","Misconduct",1985,1986
"Texas","Harris","Sex Offender Registration","Nonviolent felony",2018,2019
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Illinois","Cook","Murder","Misconduct",1997,2001
"Illinois","Cook","Murder","Misconduct",1999,2000
"North Carolina","Bertie","Murder","Misconduct",1995,1998
"New Jersey","Sussex","Manslaughter","Misconduct",2008,2011
"Illinois","Cook","Murder","Misconduct",1994,1997
"Fed-DC",NA,"Bribery","Nonviolent felony",2010,2011
"New York","Nassau","Child Sex Abuse","Misconduct",1998,1999
"Montana","Hill","Child Sex Abuse","Misconduct",2012,2012
"Fed-NY","(Eastern)","Fraud","Nonviolent felony",2003,2009
"New York","Kings","Murder","Misconduct",1986,1988
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Fed-DE",NA,"Fraud","Nonviolent felony",2010,2018
"Illinois","Cook","Murder","Misconduct",1989,1991
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2007,2007
"Louisiana","Orleans","Murder","Misconduct",1967,1968
"Texas","Dallas","Sexual Assault","Misconduct",1982,1983
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2003,2003
"Oregon","Multnomah","Attempted Murder","Misconduct",1994,1994
"Illinois","Cook","Sexual Assault","Misconduct",1981,1982
"Ohio","Montgomery","Sexual Assault","Misconduct",1988,1991
"New York","New York","Fraud","Nonviolent felony",2004,2008
"Pennsylvania","Philadelphia","Murder","Misconduct",1995,1998
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Arizona","Yavapai","Murder","Misconduct",1981,1982
"Kentucky","Bullitt","Child Sex Abuse","Misconduct",1996,2006
"Pennsylvania","Dauphin","Murder","Misconduct",1994,1995
"California","Los Angeles","Attempted Murder","Misconduct",2004,2004
"New York","New York","Sexual Assault","Misconduct",2006,2007
"Michigan","Kent","Assault","Misconduct",2016,2017
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2005,2006
"Wisconsin","Milwaukee","Robbery","Misconduct",2001,2002
"Indiana","Lake","Sexual Assault","Misconduct",1989,1993
"New York","Bronx","Murder","Misconduct",1995,1997
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Ohio","Cuyahoga","Murder","Misconduct",1995,1996
"Fed-TN","(Middle)","Fraud","Nonviolent felony",2011,2015
"Pennsylvania","Allegheny","Murder","Misconduct",1996,1997
"Pennsylvania","Montgomery","Sexual Assault","Misconduct",1986,1987
"California","San Francisco","Murder","Misconduct",1989,1990
"Florida","Polk","Murder","Misconduct",1989,1991
"Minnesota","Hennepin","Child Sex Abuse","Misconduct",1990,1992
"Minnesota","Hennepin","Child Sex Abuse","Misconduct",1990,1992
"Fed-VA","(Eastern)","Weapon Possession or Sale","Misdemeanor",1996,1998
"Illinois","Will","Other Violent Felony","Misconduct",2012,2016
"California","Los Angeles","Murder","Misconduct",1979,1980
"California","Orange","Murder","Misconduct",1996,1998
"California","Los Angeles","Weapon Possession or Sale","Misdemeanor",1997,1997
"Illinois","Cook","Murder","Misconduct",1997,1998
"Ohio","Portage","Manslaughter","Misconduct",1988,1990
"Colorado","Arapahoe","Child Sex Abuse","Misconduct",2005,2006
"Kentucky","Henderson","Child Sex Abuse","Misconduct",1994,1996
"Illinois","Cook","Murder","Misconduct",1990,1992
"Illinois","Lake","Sexual Assault","Misconduct",1994,1995
"California","Los Angeles","Assault","Misconduct",2006,2006
"South Dakota","Lawrence","Child Sex Abuse","Misconduct",1993,1999
"Nevada","Washoe","Murder","Misconduct",2011,2013
"Wisconsin","Milwaukee","Other Nonviolent Felony","Nonviolent felony",2006,2008
"Texas","McLennan","Assault","Misconduct",2018,2020
"New York","Kings","Murder","Misconduct",1995,1996
"California","Yolo","Murder","Misconduct",2016,2017
"Nebraska","Gage","Accessory to Murder","Misconduct",1985,1989
"Illinois","Cook","Murder","Misconduct",1993,1994
"Illinois","Cook","Murder","Misconduct",1998,1999
"Texas","Dallas","Sexual Assault","Misconduct",1983,1984
"Utah","Beaver","Murder","Misconduct",1984,1986
"Wisconsin","Milwaukee","Robbery","Misconduct",1992,1994
"Maryland","Baltimore City","Attempted Murder","Misconduct",2004,2005
"Pennsylvania","Philadelphia","Murder","Misconduct",2011,2013
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2003,2005
"Georgia","Glynn","Burglary/Unlawful Entry","Misdemeanor",2007,2008
"Louisiana","Orleans","Murder","Misconduct",2009,2010
"Illinois","Cook","Theft","Misdemeanor",2001,2002
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2002,2006
"Texas","Dallas","Sexual Assault","Misconduct",1999,2000
"Indiana","Madison","Murder","Misconduct",1993,1995
"Connecticut","New Haven","Murder","Misconduct",1993,1995
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2015,2015
"New York","Bronx","Child Sex Abuse","Misconduct",1983,1986
"California","Kern","Child Sex Abuse","Misconduct",1984,1985
"Oklahoma","Delaware","Child Sex Abuse","Misconduct",2012,2013
"Louisiana","Union","Murder","Misconduct",1986,1987
"Kentucky","Todd","Murder","Misconduct",1980,2008
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2007,2008
"California","Los Angeles","Murder","Misconduct",1986,1987
"California","Los Angeles","Murder","Misconduct",1986,1987
"Fed-VA","(Eastern)","Drug Possession or Sale","Misdemeanor",2015,2016
"District of Columbia",NA,"Murder","Misconduct",2004,2006
"Arizona","Pima","Murder","Misconduct",1989,1991
"North Carolina","Mecklenburg","Robbery","Misconduct",2005,2007
"Texas","Harris","Murder","Misconduct",2010,2012
"Ohio","Lorain","Drug Possession or Sale","Misdemeanor",2004,2008
"Texas","Burleson","Murder","Misconduct",1992,1994
"Illinois","Cook","Murder","Misconduct",1993,1996
"Maryland","Calvert","Murder","Misconduct",1991,1991
"Illinois","Madison","Attempted Murder","Misconduct",1978,1978
"Illinois","Cook","Murder","Misconduct",1978,1978
"Oregon","Linn","Theft","Misdemeanor",2008,2014
"Virginia","Richmond City","Murder","Misconduct",1986,1987
"Massachusetts","Suffolk","Murder","Misconduct",1965,1968
"Ohio","Cuyahoga","Sexual Assault","Misconduct",1988,1988
"Illinois","Cook","Assault","Misconduct",2010,2010
"Washington","Chelan","Child Sex Abuse","Misconduct",1994,1995
"District of Columbia",NA,"Sexual Assault","Misconduct",1987,1989
"Wisconsin","Walworth","Drug Possession or Sale","Misdemeanor",2013,2016
"Tennessee","Maury","Child Sex Abuse","Misconduct",2006,2006
